tamanho,banheiros,quartos,preco
0.856,1.0,1.0,0.513993
0.516,0.2,0.1667,0.261611
0.936,0.2,0.1667,0.459384
0.824,0.4,0.8333,0.460357
0.236,1.0,0.1667,0.174141
0.288,0.2,1.0,0.213364
0.28,0.8,0.8333,0.215487
0.152,0.2,0.6667,0.098805
0.268,0.4,1.0,0.164629
0.216,0.4,1.0,0.143234
0.488,0.8,0.6667,0.28716
0.988,0.2,0.6667,0.518993
0.552,1.0,0.3333,0.301874
0.356,0.8,1.0,0.222011
0.856,0.2,0.6667,0.482566
0.936,0.6,1.0,0.517354
0.532,0.4,1.0,0.331356
0.976,0.8,0.1667,0.513401
0.152,0.4,0.5,0.117854
0.656,0.8,1.0,0.392389
0.192,0.6,1.0,0.165403
0.392,0.8,1.0,0.24883
0.944,0.8,1.0,0.536628
0.324,0.6,0.1667,0.199713
0.624,0.6,0.5,0.356461
0.312,0.6,0.1667,0.183763
0.292,1.0,0.1667,0.158091
0.396,1.0,0.1667,0.243033
0.972,1.0,1.0,0.552757
0.776,0.6,0.5,0.438184
0.604,0.8,0.6667,0.372798
0.76,0.4,0.6667,0.443831
0.368,0.8,1.0,0.224536
0.88,0.8,0.1667,0.447701
0.668,0.2,0.6667,0.391244
0.984,1.0,0.5,0.551201
0.68,1.0,0.1667,0.348936
0.752,0.2,1.0,0.439656
0.988,1.0,0.5,0.559901
0.596,0.4,0.8333,0.33911
0.456,0.6,0.5,0.267888
0.628,0.2,0.8333,0.374159
0.46,0.8,0.1667,0.258218
0.96,0.4,0.3333,0.504386
0.544,0.8,0.3333,0.287226
0.248,0.2,0.5,0.152223
0.612,0.6,0.8333,0.337108
0.968,0.2,0.6667,0.529981
0.268,0.6,0.5,0.165069
0.144,0.4,0.3333,0.076509
0.372,0.8,0.8333,0.255176
0.396,0.6,0.5,0.23962
0.516,0.6,0.3333,0.309601
0.248,0.6,0.3333,0.148558
0.404,0.2,0.6667,0.212914
0.744,0.2,1.0,0.411157
0.96,0.2,0.3333,0.483057
0.468,0.4,0.3333,0.240684
0.772,0.4,0.8333,0.454053
0.872,0.2,0.3333,0.461176
0.16,0.2,0.1667,0.071644
0.316,0.6,0.5,0.172324
0.4,1.0,0.3333,0.225575
0.12,1.0,0.6667,0.116996
0.168,1.0,0.8333,0.146114
0.5,0.2,1.0,0.313825
0.416,0.4,1.0,0.267174
0.796,0.6,0.8333,0.451609
0.992,1.0,0.1667,0.512342
0.936,0.4,0.3333,0.503819
0.748,0.6,0.6667,0.441601
0.384,0.8,0.5,0.218424
0.588,0.8,0.1667,0.312121
0.364,1.0,0.3333,0.21562
0.468,0.2,0.8333,0.275788
0.252,0.4,0.5,0.164491
0.276,0.2,0.6667,0.177207
0.484,0.2,0.6667,0.266344
0.72,0.6,0.8333,0.388987
0.804,0.8,0.8333,0.477224
0.88,0.2,0.5,0.485565
0.52,1.0,0.6667,0.336401
0.316,1.0,0.6667,0.217307
0.336,0.2,1.0,0.231713
0.168,0.4,0.1667,0.114987
0.852,0.2,0.1667,0.446597
0.4,0.8,0.3333,0.224669
0.352,0.8,0.6667,0.247867
0.932,1.0,0.8333,0.552906
0.944,0.2,0.1667,0.507641
0.72,0.2,0.5,0.411701
0.956,1.0,0.1667,0.518778
0.908,0.2,0.6667,0.474506
0.884,1.0,0.8333,0.480787
0.92,1.0,0.6667,0.525602
0.768,0.8,0.6667,0.423712
0.764,0.8,0.5,0.41968
0.388,0.4,0.1667,0.206233
0.184,1.0,0.1667,0.118843
0.38,0.8,0.3333,0.220234
0.828,0.2,0.8333,0.449683
0.424,1.0,0.5,0.276016
0.232,1.0,0.8333,0.201948
0.828,0.2,0.3333,0.439692
0.972,0.4,0.8333,0.540049
0.972,0.6,0.1667,0.502162
0.624,0.8,0.5,0.375413
0.496,0.6,0.1667,0.282658
0.248,0.6,0.1667,0.139094
0.208,0.8,1.0,0.180579
0.7,0.6,0.1667,0.384873
0.4,0.2,0.6667,0.211116
0.564,1.0,0.5,0.309504
0.256,0.2,0.3333,0.161899
0.476,1.0,0.8333,0.307052
0.728,0.6,0.8333,0.438138
0.292,0.8,0.1667,0.168197
0.696,1.0,0.3333,0.385518
0.84,1.0,1.0,0.468363
0.512,0.8,0.8333,0.310277
0.884,1.0,0.6667,0.4932
0.664,0.6,1.0,0.397467
0.732,0.2,1.0,0.419681
1.0,1.0,0.1667,0.5222
0.836,0.6,0.5,0.451149
0.992,0.2,0.1667,0.504438
0.708,0.8,0.6667,0.409667
0.192,0.4,0.5,0.115587
0.176,1.0,0.8333,0.155299
0.932,0.8,0.8333,0.511852
0.268,0.2,0.8333,0.18156
0.82,0.8,0.8333,0.450049
0.856,0.4,1.0,0.479488
0.184,0.6,0.5,0.143934
0.556,0.6,0.6667,0.302762
0.988,1.0,0.6667,0.545738
0.836,0.2,0.5,0.427507
0.644,1.0,0.1667,0.364281
0.7,1.0,0.6667,0.384773
0.784,0.6,0.8333,0.432455
0.224,1.0,0.3333,0.148639
0.152,1.0,1.0,0.12349
0.82,0.2,0.6667,0.433652
0.312,0.2,1.0,0.198187
0.496,0.8,0.1667,0.276967
0.484,0.4,1.0,0.28476
0.284,1.0,0.5,0.167151
0.384,0.4,0.8333,0.249112
0.912,0.6,1.0,0.528595
0.664,0.4,0.3333,0.361735
0.872,1.0,0.1667,0.459215
0.94,0.2,0.3333,0.493934
0.712,0.2,0.1667,0.349977
0.304,0.2,0.3333,0.178625
0.676,1.0,0.3333,0.360433
0.94,0.8,1.0,0.523788
0.992,1.0,0.8333,0.561242
0.72,1.0,0.1667,0.377211
0.636,0.8,0.5,0.335691
0.132,0.8,1.0,0.121973
0.644,0.6,1.0,0.396094
0.144,1.0,0.8333,0.125358
0.2,0.8,0.3333,0.147935
0.308,0.4,1.0,0.212974
0.132,0.8,0.1667,0.107021
0.7,0.2,0.1667,0.375466
0.732,0.2,0.1667,0.399211
0.696,0.2,0.3333,0.389892
0.428,0.4,0.6667,0.243721
0.792,1.0,0.8333,0.456367
0.364,0.6,0.3333,0.195813
0.572,1.0,0.1667,0.332483
0.192,0.6,1.0,0.166224
0.856,0.4,0.6667,0.46983
0.636,0.6,0.5,0.339462
0.284,0.8,0.3333,0.194604
0.484,0.6,1.0,0.282685
0.92,1.0,0.5,0.517146
0.78,0.2,0.5,0.437758
0.34,1.0,0.8333,0.210825
0.844,0.4,0.8333,0.449995
0.404,1.0,0.5,0.229908
0.712,0.4,0.6667,0.399261
0.972,0.4,0.8333,0.549091
0.656,0.6,1.0,0.371947
0.948,1.0,0.6667,0.518482
0.228,0.6,0.5,0.162808
0.468,0.4,0.3333,0.250094
0.324,1.0,0.1667,0.209729
0.76,1.0,0.5,0.436139
0.448,0.4,1.0,0.282442
0.596,0.4,0.3333,0.325188
0.4,0.2,0.5,0.233031
0.448,0.6,0.3333,0.273066
0.22,0.4,0.8333,0.154469
0.144,0.8,0.6667,0.129021
0.488,0.4,0.1667,0.244541
0.16,0.8,0.1667,0.089757
0.956,0.4,0.5,0.529188
0.832,0.6,0.6667,0.454277
0.644,0.6,0.1667,0.336141
0.184,1.0,0.1667,0.133794
0.432,0.8,0.3333,0.238998
0.844,1.0,0.6667,0.487881
0.508,1.0,0.3333,0.293295
0.892,0.2,0.5,0.466382
0.144,0.8,0.1667,0.103904
0.808,1.0,0.8333,0.462105
0.16,0.6,0.8333,0.151444
0.216,0.4,0.3333,0.11527
0.248,0.4,0.3333,0.159126
0.456,0.6,1.0,0.30882
0.532,0.2,0.8333,0.302228
0.78,0.4,0.8333,0.442551
0.468,0.8,0.8333,0.311167
0.352,0.6,0.5,0.194617
0.82,0.2,0.8333,0.434838
0.824,0.6,0.3333,0.425735
0.232,0.4,0.8333,0.167388
0.724,1.0,1.0,0.435623
0.556,0.8,1.0,0.34604
0.62,1.0,0.1667,0.353695
0.628,1.0,1.0,0.391916
0.836,1.0,0.6667,0.463811
0.188,1.0,0.8333,0.156032
0.932,0.2,0.8333,0.512521
0.276,0.8,0.6667,0.204021
0.736,1.0,0.1667,0.380036
0.916,0.6,1.0,0.50152
0.932,0.6,1.0,0.518811
0.364,0.8,0.6667,0.251869
0.976,0.2,0.6667,0.537772
0.92,0.2,0.6667,0.50427
0.656,0.8,0.6667,0.40128
0.46,1.0,0.8333,0.286602
0.552,0.4,0.6667,0.31151
0.88,0.8,0.5,0.494762
0.964,0.6,0.3333,0.516405
0.312,0.2,0.3333,0.163322
0.384,1.0,0.8333,0.229687
0.716,0.6,0.8333,0.393971
0.76,1.0,0.5,0.428372
0.456,0.8,0.8333,0.28059
0.328,0.6,0.5,0.202295
0.924,0.4,0.8333,0.495017
0.72,0.2,0.3333,0.389767
0.38,0.6,0.6667,0.213836
0.576,0.6,0.1667,0.304529
0.252,0.2,0.1667,0.150745
0.416,0.2,0.6667,0.227766
0.384,0.8,0.8333,0.242617
0.436,0.8,0.8333,0.28323
0.968,0.4,0.3333,0.499028
0.776,1.0,0.5,0.425069
0.56,0.2,0.6667,0.330732
0.436,0.8,0.5,0.240554
0.44,0.6,0.1667,0.242384
0.424,0.2,0.5,0.240956
0.96,1.0,0.5,0.517313
0.968,1.0,0.3333,0.524458
0.26,0.2,0.5,0.136046
0.796,1.0,1.0,0.469655
0.676,0.6,0.3333,0.367256
0.492,1.0,0.1667,0.289077
0.24,0.8,0.5,0.180234
0.604,0.8,0.6667,0.343925
0.876,1.0,0.6667,0.508512
0.528,0.4,0.3333,0.303454
0.388,0.2,0.6667,0.245734
0.58,0.2,0.3333,0.290838
0.444,0.6,0.5,0.247034
0.728,0.2,1.0,0.394394
0.94,0.6,0.8333,0.499287
0.336,0.6,0.3333,0.213311
0.74,0.4,0.6667,0.403172
0.996,0.4,1.0,0.546257
0.74,0.8,0.6667,0.441159
0.632,0.4,0.5,0.347451
0.136,0.2,0.5,0.076867
0.448,0.2,0.3333,0.246898
0.628,1.0,0.8333,0.36859
0.46,0.4,0.3333,0.250833
0.892,0.6,0.6667,0.485488
0.864,0.6,0.8333,0.45968
0.124,0.4,0.8333,0.094314
0.312,0.6,0.5,0.193205
0.764,0.2,0.5,0.432278
0.488,1.0,1.0,0.328878
0.404,0.2,0.8333,0.244344
0.672,1.0,0.5,0.408355
0.556,0.2,0.5,0.325628
0.78,1.0,1.0,0.477255
0.868,0.4,1.0,0.484976
0.84,0.6,0.5,0.442768
0.828,0.4,0.8333,0.45112
0.276,0.2,0.5,0.178516
0.38,0.2,0.6667,0.210285
0.652,0.8,0.8333,0.402114
0.416,0.8,0.6667,0.247158
0.392,0.4,0.5,0.212789
0.76,1.0,0.5,0.42315
0.14,1.0,0.6667,0.145236
0.616,0.8,1.0,0.374781
0.86,0.4,0.3333,0.451382
0.136,0.6,0.6667,0.137704
0.724,0.8,0.5,0.428368
0.92,0.6,1.0,0.505382
0.16,1.0,0.1667,0.124125
0.948,0.4,0.6667,0.514655
0.124,0.2,0.3333,0.099155
0.648,0.8,0.3333,0.343849
0.868,0.4,0.1667,0.431217
0.792,1.0,0.8333,0.464891
0.988,0.4,1.0,0.538358
0.82,0.4,0.6667,0.474927
0.852,0.4,0.5,0.469973
0.94,0.2,0.1667,0.491861
0.92,0.8,0.6667,0.504429
0.616,0.6,0.5,0.331253
0.372,0.4,1.0,0.26106
0.8,0.2,0.8333,0.451209
0.548,0.4,0.6667,0.290014
0.46,0.2,0.5,0.271589
0.784,0.6,0.5,0.437279
0.156,0.2,0.1667,0.100844
0.864,0.2,0.1667,0.442723
0.676,0.6,0.3333,0.382506
0.56,0.2,0.3333,0.301471
0.28,0.8,0.8333,0.206375
0.892,0.6,0.6667,0.511614
0.132,0.8,0.5,0.125958
0.944,1.0,0.5,0.540139
0.864,0.6,1.0,0.499818
0.14,1.0,0.6667,0.104911
0.656,1.0,0.8333,0.412047
0.492,0.4,1.0,0.316053
0.14,1.0,0.6667,0.125697
0.188,0.8,0.3333,0.138339
0.66,0.6,0.8333,0.401124
0.448,0.4,0.8333,0.28893
0.288,0.4,0.5,0.163834
0.496,0.2,0.6667,0.300831
0.176,0.6,0.5,0.123155
0.732,0.2,0.3333,0.402035
0.728,1.0,0.1667,0.382219
0.964,1.0,0.6667,0.55013
0.168,1.0,1.0,0.167756
0.916,0.2,0.6667,0.508684
0.536,0.4,0.1667,0.29166
0.94,1.0,0.3333,0.511591
0.976,0.4,0.5,0.514818
0.952,0.6,0.5,0.512595
0.204,1.0,0.8333,0.146184
0.668,0.2,1.0,0.368061
0.124,0.8,0.8333,0.131142
0.8,0.8,0.5,0.428443
0.952,0.2,0.3333,0.472634
0.496,1.0,0.8333,0.316559
0.64,0.8,1.0,0.405417
0.344,1.0,0.1667,0.200108
0.392,0.2,0.8333,0.232356
0.824,0.4,0.6667,0.458417
0.188,0.2,0.3333,0.11375
0.5,0.4,1.0,0.319503
0.932,1.0,0.1667,0.488909
0.296,0.8,0.1667,0.162151
0.324,0.4,0.8333,0.198639
0.864,0.8,1.0,0.4967
0.62,1.0,0.6667,0.360303
0.564,0.4,0.8333,0.33512
0.696,0.2,0.6667,0.404938
0.22,1.0,0.6667,0.164287
0.896,0.4,1.0,0.523559
0.308,1.0,1.0,0.214605
0.8,0.2,1.0,0.453261
0.6,0.2,0.1667,0.323095
0.664,1.0,0.1667,0.351374
0.604,0.4,1.0,0.343981
0.668,0.4,0.1667,0.363499
0.56,0.6,0.1667,0.315124
0.18,0.4,0.8333,0.157407
0.76,1.0,1.0,0.459775
0.6,1.0,0.6667,0.350787
0.78,0.4,0.5,0.432203
0.204,0.2,0.1667,0.125233
0.816,1.0,0.3333,0.429625
0.272,1.0,0.3333,0.186574
0.452,0.6,1.0,0.310932
0.784,0.2,0.8333,0.435726
0.424,0.2,0.1667,0.220855
0.416,0.2,0.5,0.251224
0.632,0.4,0.5,0.357955
0.996,0.6,0.1667,0.514144
0.396,1.0,0.1667,0.208235
0.944,1.0,0.6667,0.524701
0.332,1.0,1.0,0.212104
0.896,0.8,0.3333,0.473315
0.556,0.2,0.1667,0.309401
0.144,0.6,1.0,0.133538
0.704,0.2,0.8333,0.409183
0.8,1.0,0.3333,0.423154
0.296,0.8,0.5,0.205371
0.176,1.0,0.5,0.132386
0.288,0.8,1.0,0.229793
0.968,1.0,0.5,0.555544
0.62,0.6,0.5,0.332711
0.16,1.0,0.3333,0.09691
0.784,0.8,1.0,0.4791
0.708,1.0,0.3333,0.399396
0.428,0.8,1.0,0.272348
0.472,0.8,0.6667,0.26762
0.74,0.2,0.5,0.406913
0.892,0.6,0.3333,0.482296
0.632,0.2,0.6667,0.358397
0.252,1.0,0.1667,0.175065
0.784,1.0,0.5,0.416903
0.8,1.0,1.0,0.462562
0.98,1.0,0.1667,0.521164
0.636,1.0,0.1667,0.347721
0.372,1.0,0.3333,0.243421
0.612,1.0,0.1667,0.337162
0.696,0.8,0.3333,0.375819
0.844,0.4,0.5,0.443644
0.388,0.8,1.0,0.234314
0.88,0.4,0.5,0.469349
